KODE;NAMA PRODUK;TANGGAL;NO.TRANSAKSI;QTY.MSK;NILAI MSK;QTY.KLR;NILAI KLR;NAMA PRODUK STOK;LOKASI;QTY.STOK;UNIT
A000016;ALLOPURINOL 300;2021-02-19;2.11-210219.1756-055;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-02-19;2.11-210219.1747-053;0.0;0.0;2.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-03-03;1.12-210303.1525-004;20.0;4300.01;0.0;0.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-03-04;2.11-210304.1607-021;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-03-05;7.6-210305.1103-008;0.0;0.0;2.0;4299.97;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-03-11;2.11-210311.1616-064;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-03-13;2.11-210313.1002-012;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-03-16;2.13-210316.1139-029;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-03-16;2.11-210316.2023-091;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-03-24;2.12-210324.1751-060;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-03-24;2.12-210324.1542-022;0.0;0.0;2.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-03-27;2.11-210327.1909-128;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-03-27;2.11-210327.0854-005;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-03-29;2.13-210329.1419-002;0.0;0.0;3.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-03-30;2.11-210330.2042-026;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-03-30;2.11-210330.2039-025;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-03-31;2.11-210331.1913-106;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-04-02;2.9-210402.1728-036;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-04-07;1.11-210407.1326-006;10.0;4299.86;0.0;0.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
